"id","text","aspectTerms__aspectTerm__term","aspectTerms__aspectTerm__polarity","aspectTerms__aspectTerm__from","aspectTerms__aspectTerm__to","aspectCategories__aspectCategory__category","aspectCategories__aspectCategory__polarity"
"379","Acceptable prices.","prices","positive","11","17","price","positive"
"726","Big thumbs up!","","","","","anecdotes/miscellaneous","positive"
"3005","we were seated at the sushi bar in front of yasuda.","sushi bar","neutral","22","31","anecdotes/miscellaneous","neutral"
"3490","We have lived in Chelsea for two years and have never noticed this restaurant.","","","","","anecdotes/miscellaneous","neutral"
"3035","As I made the title, it's an affordable restaurant for great taste.","taste","positive","61","66","food","positive"
"","","","","","","price","positive"
"1068","They even scoop it out nice (for those on a diet) not too much not to little.","","","","","service","positive"
"2233","Definitely not worth the price!","price","negative","25","30","price","negative"
"905","Orsay, is a very pleasnt throw back to traditional French food, and French service as well.","French food","positive","51","62","food","positive"
"","","service","positive","75","82","service","positive"
"2965","It's easy to get a table for a large group and you don't get hustled out.","table","positive","19","24","service","positive"
"2405","Great food at reasonable prices.","food","positive","6","10","food","positive"
"","","prices","positive","25","31","price","positive"
"1730","Salads are a delicious way to begin the meal.","Salads","positive","0","6","food","positive"
"","","meal","positive","40","44","",""
"1120","I ordered tamarind duck and my wife ordered noodles with ground beef, and we were both delighted by the way the dishes evoked Thai flavors in unexpected ways.","tamarind duck","positive","10","23","food","positive"
"","","noodles with ground beef","positive","44","68","",""
"","","dishes","positive","112","118","",""
"","","Thai flavors","positive","126","138","",""
"1193","That's why you have to pay more for that.","","","","","anecdotes/miscellaneous","neutral"
"3314","If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.","view","positive","80","84","anecdotes/miscellaneous","neutral"
"","","","","","","ambience","positive"
"1889","I loved it.","","","","","anecdotes/miscellaneous","positive"
"2286","They're are better Taiwanese restaurants and they are located in Flushing, Queens.","","","","","anecdotes/miscellaneous","neutral"
"3516","The prices are about $9 for an entree for dinner and even less for lunch.","prices","positive","4","10","price","positive"
"","","entree","positive","31","37","",""
"","","dinner","neutral","42","48","",""
"","","lunch","positive","67","72","",""
"2799","and you can't beat the prices.","prices","positive","23","29","price","positive"
"1126","but I wouldn't wanna live there.","","","","","anecdotes/miscellaneous","neutral"
"1783","Arigato Gozimas Yuka!","","","","","anecdotes/miscellaneous","neutral"
"1668","Should you happen to be impressed by the cuisine definitely try it.","cuisine","positive","41","48","food","positive"
"3264","I had the black cod with yuzu sauce, which was wonderful.","black cod with yuzu sauce","positive","10","35","food","positive"
"2922","Prices too high for this cramped and unappealing resturant.","Prices","negative","0","6","price","negative"
"","","","","","","ambience","negative"
"2506","Tuk Tuk is one of the rare choices for me to go in Brooklyn.","","","","","anecdotes/miscellaneous","positive"
"2641","This quiet dark asian bistro is well worth the trip.","","","","","anecdotes/miscellaneous","positive"
"497","I knew upon visiting NYC that I wanted to try an orginal deli.","","","","","anecdotes/miscellaneous","neutral"
"422","I would highly recommend this place!","","","","","anecdotes/miscellaneous","positive"
"1357","Total hipster-wannabe attitude in an otherwise sweet spot.","spot","positive","53","57","service","negative"
"","","","","","","ambience","positive"
"1670","Yes, there might be a wait if you have no reservations.","wait","negative","22","26","service","negative"
"","","reservations","neutral","42","54","",""
"122","Thank You Emilio.","","","","","anecdotes/miscellaneous","positive"
"2054","First of all Dal Bukhara Rocks.","","","","","anecdotes/miscellaneous","positive"
"189","Everything, from the soft bread, soggy salad, and 50 minute wait time, with an incredibly rude service to deliver below average food.","bread","negative","26","31","food","negative"
"","","salad","negative","39","44","service","negative"
"","","service","negative","95","102","",""
"","","food","negative","128","132","",""
"","","wait","negative","60","64","",""
"1941","- i asked for them spicy and they were delicious).","","","","","food","positive"
"1410","It is terrific, as is the value.","","","","","food","positive"
"","","","","","","price","positive"
"1488","The sicilian is my favorite it is moist not dry like most places but all their pizza is great!","pizza","positive","79","84","food","positive"
"","","sicilian","positive","4","12","",""
"2190","Downstairs lounge is always a good attraction","Downstairs lounge","positive","0","17","ambience","positive"
"2653","The menu prices are a bit expensive for what you get in quality and portion size.","menu prices","negative","4","15","price","negative"
"","","quality","negative","56","63","food","negative"
"","","portion size","negative","68","80","",""
"2973","The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.","food","positive","4","8","food","positive"
"","","service","positive","30","37","service","positive"
"365","(food was delivered by a busboy, not waiter) We got no cheese offered for the pasta, our water and wine glasses remained EMPTY our entire meal, when we would have easily spent another $20 on wine.","food","neutral","1","5","service","negative"
"","","busboy","negative","25","31","",""
"","","waiter","negative","37","43","",""
"","","cheese","negative","55","61","",""
"","","pasta","negative","78","83","",""
"","","water and wine glasses","negative","89","111","",""
"","","wine","neutral","191","195","",""
"","","meal","neutral","138","142","",""
"136","The takeout is great too since they give high quality tupperware as well.","takeout","positive","4","11","service","positive"
"2236","The food was not fresh, the sauces were bland and very oily.","food","negative","4","8","food","negative"
"","","sauces","negative","28","34","",""
"274","Off the beaten path, this jewel of a restaurant shines just one block away from the plethora of 6th street Indian restaurants.","","","","","anecdotes/miscellaneous","positive"
"2483","Could be pricey without a prix fixe meal.","prix fixe meal","negative","26","40","price","negative"
"1096","This is definitely an  excellent date spot because of the ambiance and on the weekends the  night scene is more than alive.","ambiance","positive","58","66","ambience","positive"
